Restaurant,Cuisine,Neighborhood,Dollar,Address,City,State
Alegria,Mexican,Vienna,$$,111 Church St.,Vienna,VA
Ardeo & Bardeo,American,Cleveland Park,$$$,3311 Connecticut Ave. NW,Washington,DC
Ayse,Middle Eastern,Frederick,$$,6 N. East St.,Frederick,MD
Baby Wale,American,Mount Vernon Triangle,$$,1124 9th St. NW,Washington,DC
